nan,nan,nan,nan,nan,xxxx-xx-xx xx:xx:xx,0,21.666668, 51.000000, 1699655211, Ambient_Weather, 199
nan,nan,nan,nan,nan,xxxx-xx-xx xx:xx:xx,0,21.666668, 51.000000, 1699655211, Ambient_Weather, 199
nan,nan,nan,nan,nan,xxxx-xx-xx xx:xx:xx,0,0.000000, 0.000000, 0, , 0
24.330000,71.137695,730.309998,nan,nan,xxxx-xx-xx xx:xx:xx,0,,,,,
nan,nan,nan,nan,nan,xxxx-xx-xx xx:xx:xx,0,,,,,
nan,nan,nan,nan,nan,xxxx-xx-xx xx:xx:xx,0,,,,,
nan,nan,nan,28.131720,-82.313805,2023-11-12 01:52:07,3,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 03:20:15,0,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 03:56:03,0,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 04:00:45,0,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 04:01:16,0,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 04:01:50,0,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 04:02:44,0,,,,,
24.330000,71.137695,730.309998,nan,nan,2023-11-12 04:03:27,0,,,,,
24.320000,73.708984,1017.489990,nan,nan,2023-11-12 04:04:37,0,,,,,
24.670000,74.066406,1017.450012,nan,nan,2023-11-12 04:05:10,0,,,,,
24.870001,74.555664,1017.460022,nan,nan,2023-11-12 04:05:42,3,,,,,
25.020000,74.024414,1017.500000,28.131914,-82.313789,2023-11-12 04:06:12,4,,,,,
24.820000,60.434570,1017.479980,28.131849,-82.313782,2023-11-12 04:06:46,5,,,,,
24.320000,47.285156,1017.090027,28.131771,-82.313744,2023-11-12 04:07:34,5,,,,,
24.100000,46.319336,1017.099976,28.131758,-82.313805,2023-11-12 04:08:11,5,,,,,
24.260000,44.237305,1017.030029,28.131781,-82.313690,2023-11-12 04:08:43,4,,,,,
24.049999,45.338867,1017.070007,28.131716,-82.313728,2023-11-12 04:28:01,6,,,,,
22.190001,56.118164,1008.369995,nan,nan,xxxx-xx-xx xx:xx:xx,0,,,,,
22.879999,71.110352,1008.330017,nan,nan,xxxx-xx-xx xx:xx:xx,0,,,,,
23.290001,74.030273,1008.419983,nan,nan,2023-11-17 13:51:46,0,21.500000, 66.000000, 1700211104, Acurite 592TXR, 1214
23.240000,75.020508,1008.419983,nan,nan,2023-11-17 13:52:03,0,21.500000, 66.000000, 1700211121, Acurite 592TXR, 1214
23.150000,75.773438,1008.419983,nan,nan,2023-11-17 13:52:19,0,21.500000, 64.000000, 1700211137, Acurite 592TXR, 1214
23.040001,76.454102,1008.440002,28.058643,-82.416245,2023-11-17 13:52:35,3,21.500000, 64.000000, 1700211153, Acurite 592TXR, 1214
22.930000,77.421875,1008.419983,28.058649,-82.416245,2023-11-17 13:52:51,3,21.600000, 64.000000, 1700211169, Acurite 592TXR, 1214
22.889999,77.723633,1008.380005,nan,nan,2023-11-17 13:53:08,4,21.600000, 65.000000, 1700211186, Acurite 592TXR, 1214
22.860001,66.716797,1008.330017,nan,nan,2023-11-17 13:53:24,0,21.600000, 67.000000, 1700211202, Acurite 592TXR, 1214
22.600000,63.998047,1008.369995,nan,nan,2023-11-17 13:53:40,3,21.700001, 66.000000, 1700211217, Acurite 592TXR, 1214
