temperature_fz,humidity_fz,pressure_fz,lat,long,time_gps,numSats_gps,temperature_pws,humidity_pws,time_pws,protocol_pws,id_pws
23.290001,74.030273,1008.419983,,,2023-11-17 13:51:46,0,21.5,66.0,1700211104.0, Acurite 592TXR,1214.0
23.24,75.020508,1008.419983,,,2023-11-17 13:52:03,0,21.5,66.0,1700211121.0, Acurite 592TXR,1214.0
23.15,75.773438,1008.419983,,,2023-11-17 13:52:19,0,21.5,64.0,1700211137.0, Acurite 592TXR,1214.0
23.040001,76.454102,1008.440002,28.058643,-82.416245,2023-11-17 13:52:35,3,21.5,64.0,1700211153.0, Acurite 592TXR,1214.0
22.93,77.421875,1008.419983,28.058649,-82.416245,2023-11-17 13:52:51,3,21.6,64.0,1700211169.0, Acurite 592TXR,1214.0
22.889999,77.723633,1008.380005,,,2023-11-17 13:53:08,4,21.6,65.0,1700211186.0, Acurite 592TXR,1214.0
22.860001,66.716797,1008.330017,,,2023-11-17 13:53:24,0,21.6,67.0,1700211202.0, Acurite 592TXR,1214.0
22.6,63.998047,1008.369995,,,2023-11-17 13:53:40,3,21.700001,66.0,1700211217.0, Acurite 592TXR,1214.0
22.41,59.532227,1008.330017,,,2023-11-17 13:53:57,0,21.799999,64.0,1700211234.0, Acurite 592TXR,1214.0
22.209999,57.703125,1008.330017,,,2023-11-17 13:54:13,0,22.0,63.0,1700211250.0, Acurite 592TXR,1214.0
22.120001,57.022461,1008.380005,,,2023-11-17 13:54:29,0,22.0,62.0,1700211266.0, Acurite 592TXR,1214.0
22.09,56.641602,1008.340027,,,2023-11-17 13:54:45,0,22.0,62.0,1700211282.0, Acurite 592TXR,1214.0
22.059999,57.025391,1008.340027,,,2023-11-17 13:55:02,0,21.799999,62.0,1700211299.0, Acurite 592TXR,1214.0
21.99,55.647461,1008.349976,,,2023-11-17 13:55:18,0,21.799999,61.0,1700211315.0, Acurite 592TXR,1214.0
23.6,73.626953,1008.219971,28.058712,-82.416115,2023-11-17 14:14:48,3,22.200001,69.0,1700212485.0, Acurite 592TXR,1214.0
23.809999,74.327148,1008.200012,,,2023-11-17 14:15:04,4,22.299999,68.0,1700212502.0, Acurite 592TXR,1214.0
23.49,75.230469,1008.150024,,,2023-11-17 14:15:20,4,22.299999,72.0,1700212518.0, Acurite 592TXR,1214.0
23.25,76.588867,1008.169983,28.058739,-82.416252,2023-11-17 14:15:36,3,22.4,74.0,1700212534.0, Acurite 592TXR,1214.0
23.5,76.764648,1008.099976,,,2023-11-17 14:15:53,4,22.4,75.0,1700212550.0, Acurite 592TXR,1214.0
23.969999,75.699219,1008.150024,,,2023-11-17 14:16:09,0,22.5,76.0,1700212567.0, Acurite 592TXR,1214.0
24.15,75.329102,1008.200012,,,2023-11-17 14:16:25,4,22.5,77.0,1700212583.0, Acurite 592TXR,1214.0
24.120001,75.268555,1008.200012,,,2023-11-17 14:16:41,4,22.5,77.0,1700212599.0, Acurite 592TXR,1214.0
23.92,77.180664,1008.27002,28.058716,-82.416382,2023-11-17 14:25:38,5,24.200001,75.0,1700213135.0, Acurite 592TXR,1214.0
24.58,75.790039,1008.210022,28.058779,-82.416351,2023-11-17 14:29:25,6,25.200001,69.0,1700213363.0, Acurite 592TXR,1214.0
24.68,75.417969,1008.219971,28.058784,-82.416359,2023-11-17 14:29:41,6,25.1,68.0,1700213379.0, Acurite 592TXR,1214.0
24.700001,75.387695,1008.210022,28.058783,-82.416351,2023-11-17 14:29:45,6,25.1,68.0,1700213379.0, Acurite 592TXR,1214.0
24.790001,75.056641,1008.190002,28.058788,-82.416351,2023-11-17 14:29:58,6,25.1,68.0,1700213395.0, Acurite 592TXR,1214.0
24.870001,74.724609,1008.210022,28.058794,-82.416367,2023-11-17 14:30:14,6,25.0,68.0,1700213412.0, Acurite 592TXR,1214.0
24.9,74.519531,1008.179993,28.058798,-82.416374,2023-11-17 14:30:30,6,24.799999,69.0,1700213428.0, Acurite 592TXR,1214.0
24.83,74.84082,1008.200012,28.058798,-82.416374,2023-11-17 14:30:46,7,24.799999,70.0,1700213444.0, Acurite 592TXR,1214.0
24.709999,74.80957,1008.219971,28.058796,-82.416374,2023-11-17 14:31:03,7,24.700001,70.0,1700213460.0, Acurite 592TXR,1214.0
24.58,74.988281,1008.200012,28.058777,-82.416359,2023-11-17 14:31:51,7,24.5,70.0,1700213509.0, Acurite 592TXR,1214.0
24.59,75.223633,1008.190002,28.058769,-82.416336,2023-11-17 14:32:08,7,24.299999,70.0,1700213525.0, Acurite 592TXR,1214.0
24.6,75.238281,1008.210022,28.058784,-82.416321,2023-11-17 14:32:24,7,24.299999,69.0,1700213542.0, Acurite 592TXR,1214.0
24.530001,75.548828,1008.23999,28.058796,-82.416328,2023-11-17 14:32:40,7,24.200001,69.0,1700213558.0, Acurite 592TXR,1214.0
24.52,75.569336,1008.23999,28.058784,-82.416336,2023-11-17 14:32:56,7,24.200001,69.0,1700213574.0, Acurite 592TXR,1214.0
24.620001,75.506836,1008.210022,28.058788,-82.416336,2023-11-17 14:33:13,7,24.1,69.0,1700213590.0, Acurite 592TXR,1214.0
24.93,75.379883,1008.23999,28.058771,-82.416328,2023-11-17 14:33:29,6,24.1,69.0,1700213607.0, Acurite 592TXR,1214.0
25.110001,74.741211,1008.23999,28.058764,-82.416328,2023-11-17 14:33:45,7,24.0,69.0,1700213623.0, Acurite 592TXR,1214.0
25.110001,74.285156,1008.22998,28.058741,-82.416344,2023-11-17 14:34:01,6,24.0,69.0,1700213639.0, Acurite 592TXR,1214.0
25.120001,73.125,1008.22998,28.058783,-82.416306,2023-11-17 14:35:06,6,23.700001,70.0,1700213704.0, Acurite 592TXR,1214.0
24.92,73.742188,1008.190002,28.058758,-82.416328,2023-11-17 14:35:23,7,23.700001,70.0,1700213720.0, Acurite 592TXR,1214.0
24.629999,75.764648,1008.190002,28.058779,-82.416359,2023-11-17 14:36:11,7,23.6,70.0,1700213769.0, Acurite 592TXR,1214.0
24.620001,75.620117,1008.169983,28.058764,-82.416351,2023-11-17 14:36:28,6,23.5,70.0,1700213785.0, Acurite 592TXR,1214.0
24.549999,75.685547,1008.159973,28.058805,-82.416374,2023-11-17 14:36:44,7,23.5,70.0,1700213802.0, Acurite 592TXR,1214.0
24.610001,76.007812,1008.159973,28.058786,-82.416344,2023-11-17 14:37:00,7,23.5,71.0,1700213818.0, Acurite 592TXR,1214.0
24.719999,76.114258,1008.169983,28.058767,-82.416351,2023-11-17 14:37:16,7,23.5,72.0,1700213834.0, Acurite 592TXR,1214.0
24.76,75.275391,1008.150024,28.058756,-82.416367,2023-11-17 14:37:33,6,23.5,72.0,1700213850.0, Acurite 592TXR,1214.0
24.790001,74.87793,1008.130005,28.058798,-82.416367,2023-11-17 14:37:49,7,23.5,72.0,1700213867.0, Acurite 592TXR,1214.0
24.85,75.088867,1008.159973,28.058798,-82.416359,2023-11-17 14:38:05,6,23.5,72.0,1700213883.0, Acurite 592TXR,1214.0
24.940001,75.40625,1008.130005,28.058813,-82.416367,2023-11-17 14:38:21,7,23.5,72.0,1700213899.0, Acurite 592TXR,1214.0
24.959999,74.616211,1008.130005,28.058802,-82.416359,2023-11-17 14:38:38,7,23.5,72.0,1700213915.0, Acurite 592TXR,1214.0
24.940001,74.369141,1008.150024,28.058784,-82.416359,2023-11-17 14:38:54,7,23.5,72.0,1700213932.0, Acurite 592TXR,1214.0
24.93,74.411133,1008.140015,28.058769,-82.416344,2023-11-17 14:39:10,6,23.5,71.0,1700213948.0, Acurite 592TXR,1214.0
24.83,74.449219,1008.140015,28.058813,-82.416306,2023-11-17 14:39:26,7,23.299999,71.0,1700213964.0, Acurite 592TXR,1214.0
24.73,74.344727,1008.119995,28.058832,-82.416367,2023-11-17 14:39:43,7,23.299999,72.0,1700213980.0, Acurite 592TXR,1214.0
24.629999,74.651367,1008.109985,28.058832,-82.416351,2023-11-17 14:39:59,6,23.299999,73.0,1700213997.0, Acurite 592TXR,1214.0
24.459999,75.024414,1008.140015,28.058811,-82.416321,2023-11-17 14:40:15,6,23.299999,73.0,1700214013.0, Acurite 592TXR,1214.0
24.27,75.327148,1008.169983,28.058798,-82.416313,2023-11-17 14:40:31,7,23.299999,73.0,1700214029.0, Acurite 592TXR,1214.0
24.07,75.760742,1008.119995,28.058811,-82.416306,2023-11-17 14:40:48,7,23.299999,73.0,1700214045.0, Acurite 592TXR,1214.0
23.98,76.19043,1008.130005,28.058817,-82.416306,2023-11-17 14:41:04,6,23.299999,73.0,1700214062.0, Acurite 592TXR,1214.0
24.030001,76.231445,1008.119995,28.058853,-82.416313,2023-11-17 14:41:20,7,23.299999,73.0,1700214078.0, Acurite 592TXR,1214.0
24.110001,76.302734,1008.169983,28.058842,-82.416336,2023-11-17 14:41:36,6,23.299999,72.0,1700214094.0, Acurite 592TXR,1214.0
24.209999,76.207031,1008.140015,28.058825,-82.416344,2023-11-17 14:41:53,7,23.200001,72.0,1700214110.0, Acurite 592TXR,1214.0
24.280001,76.229492,1008.150024,28.058821,-82.416359,2023-11-17 14:42:09,7,23.200001,72.0,1700214127.0, Acurite 592TXR,1214.0
24.299999,76.166016,1008.130005,28.058804,-82.416351,2023-11-17 14:42:25,6,23.200001,72.0,1700214143.0, Acurite 592TXR,1214.0
24.309999,76.021484,1008.179993,28.058811,-82.416351,2023-11-17 14:42:41,7,23.200001,72.0,1700214159.0, Acurite 592TXR,1214.0
24.35,75.962891,1008.169983,28.05883,-82.416374,2023-11-17 14:42:58,7,23.200001,72.0,1700214175.0, Acurite 592TXR,1214.0
24.459999,75.882812,1008.159973,28.058823,-82.416359,2023-11-17 14:43:14,7,23.200001,72.0,1700214192.0, Acurite 592TXR,1214.0
23.51,78.487305,1008.349976,28.058699,-82.416328,2023-11-17 14:57:33,6,23.5,76.0,1700215053.0, Acurite 592TXR,1214.0
